time_sec,true_mass_kg,pred_mass_kg,true_cog_x_m,pred_cog_x_m,true_cog_y_m,pred_cog_y_m,true_offset_x_m,true_offset_y_m,pred_offset_x_m,pred_offset_y_m,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,physics_loss,data_loss,total_loss
0.0,7.596287909698213,6.8,-0.00844433218978009,0.0,0.005858527024594661,0.0,-0.08055576097219984,0.05588814983067489,0.0,0.0,0.0,0.0,1.05,1.8026701891185381e-06,-1.257149460194668e-06,0.1989704472251784,0.0,0.0,0.0
0.041666666666666664,7.596287909698213,6.8,-0.00844433218978009,0.0,0.005858527024594661,0.0,-0.08055576097219984,0.05588814983067489,0.0,0.0,0.0,0.0,1.0500035583869087,1.964747143727248e-06,-2.1505673644400747e-06,0.19655553607499526,0.0,0.0,0.0
0.08333333333333333,7.596287909698213,6.8,-0.00844433218978009,0.0,0.005858527024594661,0.0,-0.08055576097219984,0.05588814983067489,0.0,0.0,0.0,0.0,1.0500282889539931,-3.211548090686624e-05,2.2727655936930593e-05,0.19892127468627407,0.0,0.0,0.0
0.12499999999999999,7.596287909698213,6.8,-0.00844433218978009,0.0,0.005858527024594661,0.0,-0.08055576097219984,0.05588814983067489,0.0,0.0,0.0,0.0,1.05009487600708,-0.0001138537131009579,9.112001352027374e-05,0.20279433131978455,0.0,0.0,0.0
0.16666666666666677,7.596287909698213,6.8,-0.00844433218978009,0.0,0.005858527024594661,0.0,-0.08055576097219984,0.05588814983067489,0.0,0.0,0.0,0.0,1.0502234756944444,-0.0002669392321752219,0.0002319534428518373,0.20774347800208773,0.0,0.0,0.0
0.20833333333333356,7.596287909698213,6.8,-0.00844433218978009,0.0,0.005858527024594661,0.0,-0.08055576097219984,0.05588814983067489,0.0,0.0,0.0,0.0,1.0504337204827203,-0.000522666670176679,0.0004826689158082574,0.21365261569500707,0.0,0.0,0.0
0.25000000000000033,7.596287909698213,6.801285333633423,-0.00844433218978009,-2.509838511377131e-05,0.005858527024594661,-2.4998170383343644e-05,-0.08055576097219984,0.05588814983067489,-0.132806980330497,-0.13227669857442378,0.0,0.0,1.0507447236328125,-0.0009181268881826118,0.0008872379893991367,0.2204480978484009,480.1295471191406,0.5696122050285339,537.0908203125
0.29166666666666685,7.596287909698213,6.803399146080018,-0.00844433218978009,-8.03029613891727e-05,0.005858527024594661,-0.00011581750025638583,-0.08055576097219984,0.05588814983067489,-0.1607265725219622,-0.23180900843814012,0.0,0.0,1.0511750836758085,-0.001494706869812082,0.0014944746203725992,0.22806839766515016,215.3327178955078,0.2864961624145508,243.98233032226562
0.33333333333333337,7.596287909698213,6.809853755025865,-0.00844433218978009,-3.932608907873114e-05,0.005858527024594661,-8.598925768851391e-05,-0.08055576097219984,0.05588814983067489,-0.02717795547791757,-0.05942650977469169,0.0,0.0,1.051742888888889,-0.002296743383893109,0.002356610198605055,0.23645995107222226,14.16944694519043,0.09135036915540695,23.30448341369629
0.3749999999999999,7.596287909698213,6.813839473654749,-0.00844433218978009,-2.0875627044107853e-05,0.005858527024594661,0.00032228179963426473,-0.08055576097219984,0.05588814983067489,-0.010278076691278264,0.15867485301616768,0.0,0.0,1.0524657217712403,-0.0033703057487756848,0.003528177814366845,0.2455758762360108,68.73580932617188,0.04900583624839783,73.63639068603516
0.4166666666666664,7.596287909698213,6.817604194578459,-0.00844433218978009,3.4454454582329133e-06,0.005858527024594661,0.0008466794334610826,-0.08055576097219984,0.05588814983067489,0.0013343230957570743,0.3278948793312364,0.0,0.0,1.0533606635199653,-0.004762245671490908,0.005064908464761168,0.25537502025940645,66.18353271484375,0.03829928860068321,70.01345825195312
0.4583333333333329,7.596287909698213,6.821466801014779,-0.00844433218978009,-0.00014586457157264452,0.005858527024594661,0.0012099026698718538,-0.08055576097219984,0.05588814983067489,-0.04635112291496102,0.38446859824656093,0.0,0.0,1.054444298505995,-0.006519400821964537,0.0070221890180350004,0.26582135839004106,1.601397156715393,0.013169811107218266,2.9183781147003174
0.49999999999999944,7.596287909698213,6.829120709034068,-0.00844433218978009,-0.0004962897634729873,0.005858527024594661,0.0018095088982324112,-0.08055576097219984,0.05588814983067489,-0.11638530838826461,0.4243493754098978,0.0,0.0,1.05573271875,-0.008687856355719987,0.009453396176527323,0.2768835075714239,14.92797565460205,0.13299593329429626,28.227569580078125
0.541666666666666,7.596287909698213,6.832744330345628,-0.00844433218978009,-0.0005540432144288999,0.005858527024594661,0.0022389554904316392,-0.08055576097219984,0.05588814983067489,-0.1156119423483936,0.46720181086816664,0.0,0.0,1.0572415283983019,-0.01131201049355578,0.012408751074965795,0.28853427922042996,3.2060060501098633,0.10122614353895187,13.328619956970215
0.5833333333333325,7.596287909698213,6.836230608980987,-0.00844433218978009,-0.0005660006307042734,0.005858527024594661,0.002807283705762303,-0.08055576097219984,0.05588814983067489,-0.10679673748662644,0.5296968319659452,0.0,0.0,1.0589858481987848,-0.014433698470084641,0.015934466918268202,0.30075025980968173,1.65557861328125,0.040290385484695435,5.684617042541504
