time_sec,true_mass_kg,pred_mass_kg,true_cog_x_m,pred_cog_x_m,true_cog_y_m,pred_cog_y_m,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,physics_loss,data_loss,total_loss
0.0,7.585617991127665,6.8,-0.004777555390811416,0.0,-0.010980546986604682,0.0,0.0,0.0,1.05,9.840641883628028e-07,2.2767381864641037e-06,0.19898863798217314,0.0,0.0,0.0
0.041666666666666664,7.585617991127665,6.8,-0.004777555390811416,0.0,-0.010980546986604682,0.0,0.0,0.0,1.0500035583869087,-2.7712953572462922e-08,1.5076905230298266e-06,0.19687560048105976,0.0,0.0,0.0
0.08333333333333333,7.585617991127665,6.8,-0.004777555390811416,0.0,-0.010980546986604682,0.0,0.0,0.0,1.0500282889539931,-1.779791853854302e-05,-4.2102480564095426e-05,0.19985470286684923,0.0,0.0,0.0
0.12499999999999999,7.585617991127665,6.8,-0.004777555390811416,0.0,-0.010980546986604682,0.0,0.0,0.0,1.05009487600708,-4.9177495784030373e-05,-0.000138799856277098,0.20465047069986875,0.0,0.0,0.0
0.16666666666666677,7.585617991127665,6.8,-0.004777555390811416,0.0,-0.010980546986604682,0.0,0.0,0.0,1.0502234756944444,-9.153856929421473e-05,-0.0003083493186616293,0.21079630422778248,0.0,0.0,0.0
0.20833333333333356,7.585617991127665,6.801501770019532,-0.004777555390811416,-2.264098195350794e-05,-0.010980546986604682,-3.0036054100788792e-05,0.0,0.0,1.0504337204827203,-0.00014240447188932053,-0.0005774308300094942,0.21814109554363764,578.9850463867188,0.020578784868121147,581.0429077148438
0.25000000000000033,7.585617991127665,6.80680591697693,-0.004777555390811416,-3.698055185647621e-05,-0.010980546986604682,-0.00016477917215138718,0.0,0.0,1.0507447236328125,-0.00019937503498339894,-0.0009779298084141774,0.2265797446694863,92.97845458984375,0.004626440815627575,93.44110107421875
0.29166666666666685,7.585617991127665,6.813625369235993,-0.004777555390811416,0.00013699704349115746,-0.010980546986604682,-0.0005375684570389167,0.0,0.0,1.0511750836758085,-0.00026006687571924423,-0.0015455235615653294,0.23602277951313222,66.3700180053711,0.005234469659626484,66.89346313476562
0.33333333333333337,7.585617991127665,6.819372595300027,-0.004777555390811416,0.00024410003660083255,-0.010980546986604682,-0.0009990331452533639,0.0,0.0,1.051742888888889,-0.0003220388341300682,-0.002318355121463626,0.24639185755529946,7.445662021636963,0.007655747700482607,8.211236953735352
0.3749999999999999,7.585617991127665,6.82496847169528,-0.004777555390811416,0.00038652160580917964,-0.010980546986604682,-0.001651047144138836,0.0,0.0,1.0524657217712403,-0.0003829713389508284,-0.003335648743445826,0.2576181808573097,3.6646533012390137,0.002204850083217025,3.8851382732391357
